,Unnamed: 0.1,Unnamed: 0,Candidate identification,Candidate name,Incumbent challenger status,Party code,Party affiliation,Total receipts,Transfers from authorized committees,Total disbursements,Transfers to authorized committees,Beginning cash,Ending cash,Contributions from candidate,Loans from candidate,Other loans,Candidate loan repayments,Other loan repayments,Debts owed by,Total individual contributions,Candidate state,Candidate district,Special election status,Primary election status,Runoff election status,General election status,General election percentage,Contributions from other political committees,Contributions from party committees,Coverage end date,Refunds to individuals,Refunds to committees,Affiliated Committee Id,Affiliated Committee Type,Affiliated Committee Name,Street one,Street two,City or town,State,ZIP code,lat,lon
10,10,10,H2AK01075,"BRELSFORD, GREGG BOWYER MR. [IND/Candidate]",C,3,IND,43826.69,0,43376.41,0,0,450.28,341.93,27000,0,14000,0,12000,13610,AK,0,,,,,,0,100,11/28/2022,0,0,C00783654,H,ALASKANS FOR GREGG,"7545 FOXRIDGE WAY, #311",,ANCHORAGE,AK,99518,61.15219956,-149.8849461
11,11,11,H2AK01166,"GROSS, ALAN [IND/Opponent]",O,3,IND,882591.9,175216.9,888083.17,0,0,-5491.27,0,0,0,0,0,0,691155.94,AK,0,,,,,,16000,0,12/31/2022,198287.5,0,C00811299,H,AL GROSS FOR CONGRESS,PO BOX 90938,,ANCHORAGE,AK,99509,61.195285,-149.91498
12,12,12,H8AK00140,"GALVIN, ALYSE [IND/Candidate]",C,3,IND,28303.62,1169.54,124897.32,0,96593.7,0,0,0,0,0,0,0,0,AK,0,,,,,,0,0,04/20/2022,0,0,C00665711,H,ALYSE FOR ALASKA,P.O. BOX 90020,,ANCHORAGE,AK,99509,61.195285,-149.91498
13,13,13,H2AK01216,"BYE, CHRIS [LIB/Opponent]",O,3,LIB,8018.91,0,3940.25,0,290.67,4217.51,3721.03,0,0,0,0,0,4198.61,AK,0,,,,,,99.27,0,12/08/2022,0,0,C00806059,H,CHRIS BYE CONGRESSIONAL RACE,832 SILVERTREE CT,,FAIRBANKS,AK,99712,64.89654826,-147.6038146
14,14,14,H2AK01208,"METTLER, SHERRY [NNE/Opponent]",O,3,NNE,8350,0,8350,0,0,0,1800,5000,0,0,0,5000,1550,AK,0,,,,,,0,0,09/12/2022,0,0,C00812719,H,METTLER FOR US CONGRESS,403 E 24TH AVE,,ANCHORAGE,AK,99503,61.19920921,-149.8764993
15,15,15,H2AK01190,"LOWENFELS, JEFF [NON/Opponent]",O,3,NON,153418.08,0,153418.08,0,0,0,25,100000,0,0,0,100000,53393.08,AK,0,,,,,,0,0,08/25/2022,0,0,C00812263,H,ALASKANS FOR JEFF,6320 W DIMOND BLVD,,ANCHORAGE,AK,99502,61.13975646,-149.9982883
16,16,16,H0AL01097,"AVERHART, JAMES [DEM/Opponent]",O,1,DEM,0,0,1000,0,1121.71,121.71,0,0,0,0,0,29245,0,AL,1,,,,,,0,0,12/31/2022,0,0,C00708867,H,CAMPAIGN TO ELECT JAMES AVERHART,PO BOX 40661,,MOBILE,AL,36604,30.68065,-88.071965
17,17,17,H0AL01055,"CARL, JERRY LEE, JR [REP/Incumbent]",I,2,REP,1313718.57,281319.87,971793.34,0,111972.59,453897.82,0,0,0,28797.29,0,468238.58,532388.69,AL,1,,,,,,499500,0,12/31/2022,21700,0,C00697789,H,JERRY CARL FOR CONGRESS,PO BOX 852138,,MOBILE,AL,36685,30.67604985,-88.18368534
18,18,18,H0AL01063,"LAMBERT, DOUGLAS WESTLEY III [REP/Opponent]",O,2,REP,0,0,0,0,0,0,0,0,0,0,0,71611.13,0,AL,1,,,,,,0,0,03/31/2021,0,0,C00701557,H,WES LAMBERT FOR CONGRESS,7194 STILLWATER BLVD,,SPANISH FORT,AL,36527,30.71663829,-87.89997681
19,19,19,H0AL02202,"HARVEY-HALL, PHYLLIS [DEM/Candidate]",C,1,DEM,60440.24,0,60219.66,0,0,220.58,0,7823,0,0,0,1200,48936.06,AL,2,,,,,,350,3331.18,12/31/2022,0,0,C00728873,H,CAMPAIGN TO ELECT PHYLLIS HARVEY-HALL,P.O. BOX 11564,,MONTGOMERY,AL,36111,32.335595,-86.28224
20,20,20,H2AL02166,"PATEL, VIMAL [DEM/Candidate]",C,1,DEM,61099.81,0,59961.13,0,0,1138.68,17265,12811,0,0,0,12811,31023.81,AL,2,,,,,,0,0,12/31/2022,0,0,C00790998,H,VIMAL PATEL FOR CONGRESS INC,PO BOX 9184,,DOTHAN,AL,36304,31.22326,-85.39338
21,21,21,H0AL02087,"ROBY, MARTHA [REP/Incumbent]",I,2,REP,2500,0,47712.24,0,45212.24,0,0,0,0,0,0,0,0,AL,2,,,,,,0,0,06/30/2021,0,0,C00493783,H,FRESHMAN AGRICULTURAL REPUBLICAN MEMBERS TRUST AKA FARM TRUST,PO BOX 30844,,BETHESDA,MD,20824,38.97859,-77.091475
22,22,22,H0AL02145,"COLEMAN, JEFF [REP/Opponent]",O,2,REP,0,0,0,0,0,0,0,0,0,0,0,0,0,AL,2,,,,,,0,0,09/30/2021,0,0,C00715698,H,"JEFF COLEMAN FOR CONGRESS, INC.",P.O. BOX 6132,,MONTGOMERY,AL,36106,32.36158,-86.28561
23,23,23,H0AL02152,"KING, TROY [REP/Opponent]",O,2,REP,0,0,3028.21,0,3028.21,0,0,0,0,0,0,0,0,AL,2,,,,,,0,0,09/30/2021,0,0,C00718411,H,TROY KING FOR CONGRESS,PO BOX 1,,MONTGOMERY,AL,36101,32.3749098,-86.3119402
24,24,24,H2AL02182,"COLEMAN, JEFF [REP/Candidate]",C,2,REP,362073.05,0,362073.05,0,0,0,62063.05,300000,0,0,0,0,0,AL,2,,,,,,0,0,06/30/2022,0,0,C00804559,H,COLEMAN FOR CONGRESS,PO BOX 8722,,DOTHAN,AL,36304,31.22326,-85.39338
25,25,25,H8AL02171,"MOORE, FELIX BARRY [REP/Incumbent]",I,2,REP,891776.46,15862.17,430418.03,0,1439.05,467797.48,0,0,0,11500,0,0,524421.35,AL,2,,,,,,343389.25,0,12/31/2022,2500.62,0,C00720375,H,BARRY MOORE FOR CONGRESS,P.O. BOX 310815,,ENTERPRISE,AL,36331,31.31516,-85.85462
26,26,26,H2AL02190,"SMITH, JONATHAN [LIB/Candidate]",C,3,LIB,14276.09,0,13281.19,0,0,-296.53,0,0,0,0,0,0,12617.2,AL,2,,,,,,400,0,12/31/2022,0,0,C00808667,H,JONATHAN 4 CONGRESS,148 MEADOWLANE RD,,DALEVILLE,AL,36322,31.32047022,-85.65640914
27,27,27,H2AL03131,"VEASEY, KAREN LIN MRS [DEM/Candidate]",C,1,DEM,9968,0,13237.7,0,3700,3545.05,0,0,0,0,0,0,4413,AL,3,,,,,,0,5555,11/28/2022,0,0,C00817130,H,LIN VEASEY FOR CONGRESS,310 LADIGA ST. SE,,JACKSONVILLE,AL,36265,33.81340136,-85.75859862
28,28,28,H8AL03062,"WINFREY, ADIA [DEM/Candidate]",C,1,DEM,0,0,23,0,28.31,0,0,0,0,0,0,0,0,AL,3,,,,,,0,0,12/31/2022,0,0,C00669010,H,COMMITTEE TO ELECT DR. ADIA WINFREY,PO BOX 734,,TALLADEGA,AL,35161,33.43451,-86.10269
29,29,29,H2AL03032,"ROGERS, MICHAEL [REP/Incumbent]",I,2,REP,2262995.22,18400,1737893.91,130015,502233.7,1028335.01,0,0,0,0,0,0,1170064.81,AL,3,,,,,,1012390.44,19869.29,12/31/2022,16208,1000,C00367862,H,MIKE ROGERS FOR CONGRESS,123 EAST 13TH STREET,,ANNISTON,AL,36201,33.66110448,-85.82735562
30,30,30,H2AL03123,"JOINER, MICHAEL T [REP/Candidate]",C,2,REP,500,0,538.99,0,0,-38.99,0,0,0,0,0,0,500,AL,3,,,,,,0,0,05/04/2022,0,0,C00802041,H,MICHAEL T JOINER FOR CONGRESS,115 ISBELL CIR,,RAGLANG,AL,35131,33.67737158,-86.25463655
31,31,31,H2AL03107,"BELL, DOUGLAS A. [IND/Candidate]",C,3,IND,7680.83,0,7595.58,0,0,85.25,4575.96,0,0,0,0,299.93,3104.87,AL,3,,,,,,0,0,12/31/2022,0,0,C00777540,H,DOUG BELL FOR US CONGRESS,52 VIRGINIA AVE.,,SYLACAUGA,AL,35150,33.18509356,-86.25772083
32,32,32,H8AL04086,"NEIGHBORS, RICKY [DEM/Candidate]",C,1,DEM,22648.3,0,23619.51,0,1034.1,-2082.65,0,0,0,0,0,1800,22498.3,AL,4,,,,,,0,150,11/28/2022,0,0,C00802025,H,RICK NEIGHBORS FOR CONGRESS 2022,1008 CLEVELAND BRANCH ROAD,,HACKLEBURG,AL,35564,34.3506723,-87.83502888
33,33,33,H6AL04098,"ADERHOLT, ROBERT B. REP. [REP/Incumbent]",I,2,REP,1540807.2,5263.5,1028366.36,475,647004.39,1159445.23,0,0,0,0,0,0,845700.98,AL,4,,,,,,684683.5,0,12/31/2022,2308.14,1000,C00313247,H,ROBERT ADERHOLT FOR CONGRESS,P. O. BOX 1158,,HALEYVILLE,AL,35565,34.22656,-87.62018
34,34,34,H2AL04105,"COCHRAN, JOHN [LIB/Candidate]",C,3,LIB,6719.28,0,6330.7,0,0,388.58,100,0,0,0,0,0,6619.28,AL,4,,,,,,0,0,12/31/2022,0,0,C00819706,H,COMMITTEE TO ELECT JOHNNY C. COCHRAN,1879 GAINESWOOD PLACE,,TUSCALOOSA,AL,35406,33.25520504,-87.51674857
35,35,35,H2AL05177,"WARNER-STANTON, KATHY L [DEM/Opponent]",O,1,DEM,85150,0,84706.25,0,-248.72,195.03,0,80000,0,0,0,80000,5150,AL,5,,,,,,0,0,11/28/2022,0,0,C00791558,H,CANDIDATE KATHY WARNER-STANTON,1937 RED SUNSET DR,,DECATUR,AL,35603,34.5793939,-87.05063186
36,36,36,H0AL05163,"BROOKS, MO [REP/Incumbent]",I,2,REP,3615102.95,0,4750635.47,0,1137501.18,1968.66,0,0,0,0,0,0,3392131.66,AL,5,,,,,,93500,0,12/31/2022,329546,5500,,,,,,,,,29.25539,93.63811
37,37,37,H0AL05205,"LEWIS, CHRIS [REP/Candidate]",C,2,REP,100,0,373.3,0,1009.55,736.25,0,0,0,0,0,62051.49,100,AL,5,,,,,,0,0,03/31/2022,0,0,C00701375,H,FRIENDS OF CHRIS LEWIS,PO BOX 992,,FLORENCE,AL,35631,34.802035,-87.67545
38,38,38,H2AL05102,"STRONG, DALE WHITNEY [REP/Candidate]",C,2,REP,1994353.59,0,1975308.27,0,0,19045.32,0,240000,0,0,0,240000,1393769.91,AL,5,,,,,,360000,0,12/31/2022,20400,0,C00774281,H,DALE STRONG FOR CONGRESS,P.O. BOX 18502,,HUNTSVILLE,AL,35804,34.7275762,-86.5935756
39,39,39,H2AL05110,"BLALOCK, KEVIN ANDREW [REP/Candidate]",C,2,REP,51494.96,0,49212.24,0,0,2239.22,10237.14,0,0,0,0,0,40757.82,AL,5,,,,,,500,0,05/24/2022,0,0,C00775700,H,ANDY BLALOCK THE COMMITTEE TO ELECT FOR CONGRESS,25055 AIRPORT ROAD,,ATHENS,AL,35614,34.83649202,-86.98112702
40,40,40,H2AL05128,"WARDYNSKI, CASEY [REP/Opponent]",O,2,REP,777338.34,0,777338.34,0,0,0,1600,153000,0,0,0,153000,595228.34,AL,5,,,,,,14500,0,08/02/2022,11905,0,C00778142,H,CASEY FOR CONGRESS,PO BOX 690,,HUNTSVILLE,AL,35804,34.7275762,-86.5935756
41,41,41,H2AL05136,"WRIGHT, HARRISON GAGE WOODARD [REP/Opponent]",O,2,REP,811,0,0,0,485.24,0,0,0,0,0,0,0,10,AL,5,,,,,,25,100,07/21/2022,0,0,C00779371,H,HARRISON WRIGHT FOR US HOUSE 2022,2080 COUNTY HIGHWAY 26,,HAYDEN,AL,35079,34.01930702,-86.70500216
42,42,42,H2AL05169,"ROBERTS, JOHN [REP/Opponent]",O,2,REP,167173.32,0,167173.32,0,0,0,2468.94,45000,0,6933.64,0,0,119704.38,AL,5,,,,,,0,0,08/31/2022,27400,0,C00785683,H,JOHN ROBERTS FOR CONGRESS,PO BOX 225,,HUNTSVILLE,AL,35804,34.7275762,-86.5935756
43,43,43,H2AL05219,"SANFORD, PAUL [REP/Opponent]",O,2,REP,70308.97,0,70417.97,0,0,0,208.75,11250,0,0,0,10000,58650.22,AL,5,,,,,,0,0,12/31/2022,0,0,C00792861,H,FRIENDS OF PAUL SANFORD,PO BOX 2702,,HUNTSVILLE,AL,35801,34.7231772,-86.5807152
44,44,44,H2AL05144,"THOMPSON, CHARLES [AL/Opponent]",O,3,AL,35028.56,0,34895.13,0,0,133.43,0,24897.02,0,1804.86,0,23092.16,10131.54,AL,5,,,,,,0,0,06/30/2022,0,0,C00784553,H,CHARLIE4CONGRESS,3215 BLUE CREST ST SW,,HUNTSVILLE,AL,35805,34.70341569,-86.62471123
45,45,45,H4AL06098,"PALMER, GARY [REP/Incumbent]",I,2,REP,1278902.76,175769.1,1203524.76,0,370687.86,446065.86,0,0,0,0,0,0,686961.84,AL,6,,,,,,410795,100,12/31/2022,66900,0,C00551374,H,GARY PALMER FOR CONGRESS,1919 OXMOOR RD #235,,HOMEWOOD,AL,35209,33.4783787,-86.78851466
46,46,46,H0AL07086,"SEWELL, TERRI A. [DEM/Incumbent]",I,1,DEM,2359060.83,0,1706609.01,0,2243480.25,2895932.07,0,0,0,0,0,0,666127.08,AL,7,,,,,,1679747.82,0,12/31/2022,7387,1500,C00458976,H,TERRI SEWELL FOR CONGRESS,PO BOX 1964,,BIRMINGHAM,AL,35201,33.51961,-86.80192
47,47,47,H6AL07166,"WALTERS, EDDISON T [DEM/Opponent]",O,1,DEM,0,0,0,0,0,0,0,0,0,0,0,10164.85,0,AL,7,,,,,,0,0,03/31/2021,0,0,C00678631,H,EDDISON WALTERS CAMPAIGN,170 NE 2ND STREET,4065,BOCA RATON,FL,33429,26.352359,-80.084237
48,48,48,H2AL07173,"NICHOLS, BEATRICE JACKSON [REP/Candidate]",C,2,REP,47728.98,0,47821.88,0,0,75.13,0,0,0,0,0,0,46285.71,AL,7,,,,,,0,1000,12/31/2022,0.14,0,C00762344,H,NICHOLS COMMITTEE,1471 JAMESTOWN CIRCLE,,MOUNDVILLE,AL,35474,32.99194078,-87.63385885
49,49,49,H0AR01109,"CAUSEY, CHAD [DEM/Opponent]",O,1,DEM,15000,0,15181.59,0,181.59,0,0,15000,0,0,0,0,0,AR,1,,,,,,0,0,06/30/2022,0,0,C00475384,H,CHAD CAUSEY FOR CONGRESS,P.O. BOX 7526,,LITTLE ROCK,AR,72217,34.77013,-92.33434
50,50,50,H2AR01113,"HODGES, MONTE [DEM/Candidate]",C,1,DEM,66983.81,0,64098.32,0,0,3328.65,0,25000,0,0,0,25000,41983.81,AR,1,,,,,,0,0,12/31/2022,0,0,C00798892,H,COMMITTEE TO ELECT MONTE HODGES,453 NORTH 10TH STREET,,BLYTHEVILLE,AR,72315,35.93087708,-89.91445075
51,51,51,H0AR01083,"CRAWFORD, ERIC ALAN RICK [REP/Incumbent]",I,2,REP,1087410.34,0,647616.25,0,182708.24,622502.33,0,0,0,0,0,0,483520.34,AR,1,,,,,,599400,3600,12/31/2022,0,0,C00462374,H,CRAWFORD FOR CONGRESS,PO BOX 16956,,JONESBORO,AR,72403,35.814005,-90.6754
52,52,52,H0AR01125,"SMITH, PRINCELLA D [REP/Opponent]",O,2,REP,0,0,0,0,4,4,0,0,0,0,0,0,0,AR,1,,,,,,0,0,12/31/2022,0,0,C00480905,H,PRINCELLA SMITH FOR CONGRESS,6920 BRADDOCK RD,STE E #662,ANNANDALE,VA,22003,38.81200728,-77.1849435
53,53,53,H2AR01105,"SMITH, BRANDT [REP/Candidate]",C,2,REP,30450,0,30450,0,0,0,1000,0,0,0,0,0,28700,AR,1,,,,,,750,0,06/30/2022,0,0,C00788398,H,BRANDT SMITH FOR CONGRESS,3501 RIDGEWAY CIRCLE,,JONESBORO,AR,73404,35.78832548,-90.7646514
54,54,54,H2AR01121,"SHACKELFORD, JODY [REP/Candidate]",C,2,REP,24483.04,0,21377.52,0,0,3105.52,0,24333.04,0,0,0,24333.04,150,AR,1,,,,,,0,0,05/04/2022,0,0,C00803635,H,THE CAMPAIGN TO ELECT JODY SHACKELFORD,58 ISLETA DR.,,CHEROKEE VILLAGE,AR,72529,36.29055935,-91.57397637
55,55,55,H0AR02206,"ELLIOTT, JOYCE ANN SENATOR [DEM/Candidate]",C,1,DEM,122114.7,0,129574.4,0,3729.85,0,0,0,0,0,0,0,0,AR,2,,,,,,0,0,03/31/2021,138,0,C00726943,H,JOYCE ELLIOTT FOR CONGRESS,PO BOX 179,,LITTLE ROCK,AR,72203,34.74326,-92.264525
56,56,56,H2AR02087,"CARTWRIGHT, NICHOLAS [DEM/Candidate]",C,1,DEM,20244,0,19989,0,0,255,0,0,0,0,0,0,20244,AR,2,,,,,,0,0,03/21/2022,0,0,C00783407,H,NICK CARTWRIGHT FOR CONGRESS,113 HIGHLAND CIRCLE,,ROMANCE,AR,72136,35.21735183,-92.05455874
57,57,57,H2AR02095,"HATHAWAY, QUINTESSA DR. [DEM/Candidate]",C,1,DEM,10421.88,0,10376.75,0,0,45.13,6592.54,0,0,0,0,0,3454.93,AR,2,,,,,,200,0,12/31/2022,1150,0,C00788232,H,QUINTESSA HATHAWAY FOR CONGRESS (AR-2),P.O. BOX 6121,,SHERWOOD,AR,72124,34.81441,-92.20596
58,58,58,H8AR02142,"COMBS, GWENDOLYNN MILLEN MRS. [DEM/Candidate]",C,1,DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,2,,,,,,0,0,02/01/2021,0,0,C00652289,H,COMBS FOR ARKANSAS,P.O BOX 250071,,LITTLE ROCK,AR,72225,34.7578,-92.32445
59,59,59,H2AR02103,"REYNOLDS, CONRAD E [REP/Candidate]",C,2,REP,127592.04,0,150763.96,0,0,2134.97,0,12335.56,0,0,0,21442.67,114040.98,AR,2,,,,,,0,0,12/31/2022,8700,0,C00796037,H,CONRAD REYNOLDS FOR CONGRESS,P.O.BOX 10333,,CONWAY,AR,72034,35.086365,-92.44743
60,60,60,H2AR02111,"POSTON, DAVID P [REP/Candidate]",C,2,REP,1209.86,0,1309.86,0,100,0,0,500,0,0,0,500,565,AR,2,,,,,,0,0,04/21/2022,0,0,C00796391,H,DAVID POSTON FOR CONGRESS,PO BOX 652,,VILONIA,AR,72173,35.0853267,-92.2045731
61,61,61,H4AR02141,"HILL, JAMES FRENCH [REP/Incumbent]",I,2,REP,3396282.37,392627.74,2926696.72,85142.66,410779.36,880665.01,0,0,0,0,0,0,1581068.73,AR,2,,,,,,1279750,200,12/31/2022,10100,0,C00551275,H,FRENCH HILL FOR ARKANSAS,PO BOX 7841,,LITTLE ROCK,AR,72217,34.77013,-92.33434
62,62,62,H0AR03030,"WHITAKER, DAVID JEFFREY [DEM/Opponent]",O,1,DEM,0,0,0,0,3367.43,3367.43,0,0,0,0,0,18457.09,0,AR,3,,,,,,0,0,12/31/2022,0,0,C00468033,H,DAVID WHITAKER FOR CONGRESS,PO BOX 957,,FAYETTEVILLE,AR,72702,36.06635,-94.16004
63,63,63,H2AR03283,"HAYS, LAUREN [DEM/Candidate]",C,1,DEM,65741.89,0,65741.89,0,0,0,5000,23700,0,1124.84,0,22575.16,36766.89,AR,3,,,,,,0,275,12/31/2022,0,0,C00777144,H,SUPPORTERS FOR LAUREN MALLETT-HAYS,PO BOX 30,,FARMINGTON,AR,72730,36.039155,-94.250315
64,64,64,H0AR03055,"WOMACK, STEVE [REP/Incumbent]",I,2,REP,1664168.78,16946.27,1083110.59,0,1363256.7,1944314.89,0,0,0,0,0,0,739783.77,AR,3,,,,,,887778.08,0,12/31/2022,1550,0,C00477745,H,WOMACK FOR CONGRESS COMMITTEE,PO BOX 508,,ROGERS,AR,72757,36.33635,-94.1257194
65,65,65,H2AR03143,"HENDREN, JAMES PAUL [REP/Candidate]",C,2,REP,-9.85,0,19.96,0,93.61,63.8,0,-9.85,0,0,0,450132.85,0,AR,3,,,,,,0,0,12/31/2022,0,0,C00366567,H,JIM HENDREN FOR CONGRESS,1607 HWY 72 SE,,GRAVETTE,AR,72736,36.41708483,-94.44089864
66,66,66,H2AR03275,"KUMAR, NEIL [REP/Candidate]",C,2,REP,110333.24,0,110333.24,0,0,0,0,30000,0,461,0,29539,80123.24,AR,3,,,,,,210,0,07/05/2022,125,0,C00775163,H,NEIL FOR ARKANSAS,PO BOX 652,,BENTONVILLE,AR,72712,36.36823,-94.209995
67,67,67,H0AR04087,"HANSON, WILLIAM MR. [DEM/Candidate]",C,1,DEM,0,0,929.98,0,-1915.51,-2845.49,0,0,0,0,0,70100,0,AR,4,,,,,,0,0,04/14/2021,0,0,C00717439,H,WILLIAM HANSON FOR CONGRESS,451 LAKELAND DRIVE. APT. H-6,,HOT SPRINGS,AR,71913,34.44721468,-93.06115892
68,68,68,H8AR04130,"SHAMEL, HAYDEN CATHERINE [DEM/Candidate]",C,1,DEM,0,0,21,0,112.18,91.18,0,0,0,0,0,0,0,AR,4,,,,,,0,0,01/13/2021,0,0,C00659235,H,HAYDEN SHAMEL FOR ARKANSAS,P.O. BOX 20695,,HOT SPRINGS,AR,71903,34.46506,-93.07132
69,69,69,H2AR04083,"COTTON, THOMAS [REP/Candidate]",C,2,REP,4878968.62,1368642.23,3492022.96,300,6396952.99,7783898.65,0,0,0,0,0,73959,3356793.15,AR,4,,,,,,122000,0,12/31/2022,3000,0,,,,,,,,,29.25539,93.63811
70,70,70,H4AR04048,"WESTERMAN, BRUCE [REP/Incumbent]",I,2,REP,1944291.45,81657.47,1445546.44,0,976806.01,1475551.02,0,0,0,0,0,0,909878.88,AR,4,,,,,,941300,0,12/31/2022,8650,3600,C00548180,H,WESTERMAN FOR CONGRESS,PO BOX 21097,,HOT SPRINGS,AR,71903,34.46506,-93.07132
71,71,71,H4AS00036,"AMATA, AUMUA [REP/Incumbent]",I,2,REP,57300,5000,57524.13,10000,518.03,293.9,0,0,0,0,0,0,22000,AS,0,,,,,,29900,0,12/31/2022,0,0,C00393041,H,FRIENDS OF AMATA,POST OFFICE BOX 6171,,PAGO PAGO,AS,96799,-14.32791999,-170.7307699
72,72,72,H0AZ01358,"PUTZOVA, EVA [DEM/Candidate]",C,1,DEM,234.98,0,21118.24,12000,20883.26,0,234.98,0,0,0,0,0,0,AZ,1,,,,,,0,0,11/28/2022,0,0,C00694091,H,EVA PUTZOVA FOR CONGRESS,PO BOX 677,,FLAGSTAFF,AZ,86002,35.19801,-111.646425
73,73,73,H2AZ01404,"TORRES, GINGER SYKES [DEM/Candidate]",C,1,DEM,124921.97,1000,129544.06,0,0,-4622.09,0,0,0,0,0,0,117921.97,AZ,1,,,,,,6000,0,12/31/2022,3150,0,C00801209,H,GINGER SYKES TORRES FOR ARIZONA,PO BOX 45482,,PHOENIX,AZ,85064,33.509515,-112.03887
74,74,74,H2AZ06221,"HODGE, JEVIN D [DEM/Candidate]",C,1,DEM,2565414.5,31771.58,2550588.79,0,0,14825.71,0,0,0,0,0,0,2145593.64,AZ,1,,,,,,369257.93,0,12/31/2022,22787.99,10000,C00778464,H,FRIENDS OF JEVIN D. HODGE,PO BOX 4981,,SCOTTSDALE,AZ,85261,33.5530676,-111.8923666
75,75,75,H2AZ06254,"WILLIAMSON, W (WALTER) JOHN [DEM/Candidate]",C,1,DEM,1150,0,289.73,0,0,860.27,100,0,0,0,0,0,1050,AZ,1,,,,,,0,0,12/31/2022,0,0,C00786640,H,WILLIAMSON FOR U.S. CONGRESS,2929 N. 70TH STREET,APT. 2044,SCOTTSDALE,AZ,85251,33.48162782,-111.9287917
